CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
278,Director de museo,2
279,Director de biblioteca,2
280,Director de servicios estadísticos,2
281,Director departamento de estadística,2
282,Jefe departamento de inspección,2
283,Director de inspección,2
284,Director de departamento legal,2
285,Jefe de departamento legal,2
286,Gerente de empresa de hotel,2
287,Gerente de motel,2
288,Administrador de hotel,2
289,Gerente de hotel,2
290,Gerente de restaurante,2
291,Gerente de restaurante bar,2
292,Gerente de snack bar,2
293,Administrador de almacén,2
294,Administrador de farmacia,2
295,Gerente de comercio mayorista,2
296,Gerente de comercio mayorista / exportación,2
297,Gerente de comercio mayorista / importación,2
298,Gerente de comercio minorista,2
299,Gerente de comercio minorista / cadena de almacenes,2
300,Gerente de comercio minorista / tiendas,2
301,Presidente empresa privada de comercio ,2
302,Presidente empresa  de comercio ,2
303,Subgerente empresa  de comercio ,2
304,Gerente de tienda,2
305,Gerente de supermercado,2
306,Administrador de supermercado,2
307,Gerente de ferretería,2
308,Gerente de empresa comercial,2
309,Gerente de gasolinera,2
310,Gerente de empresa de actividades culturales,2
311,Gerente de empresa de actividades deportivas,2
312,Gerente de empresa de actividades recreativas,2
313,Coordinador programas deportivos de empresa privada,2
314,Gerente de parque de diversiones,2
315,Director de teatro,2
316,Director de centro deportivo,2
317,Gerente de teatro,2
318,Director de club de fútbol,2
319,Gerente de club de fútbol,2
320,Presidente de club de fútbol/privado,2
321,Presidente de equipo de fútbol,2
322,Gerente de  agencia de viajes,2
323,Gerente de centro comercial,2
324,Administrador de agencia de viajes,2
325,Administrador de centro de conferencias,2
326,Administrador de centro comercial,2
327,Administrador de mercado,2
328,Astrofísico,2
329,Astrónomo,2
330,Físico,2
331,Radioastrónomo,2
332,Reólogo,2
333,Físico nuclear,2
334,Climatólogo,2
335,Meteorólogo,2
336,Meteorólogo de climatología,2
337,Meteorólogo de previsión del tiempo,2
338,Cristalógrafo,2
339,Laboratorista industrial / químico,2
340,Laboratorista químico,2
341,Químico,2
342,Geodesta,2
343,Geofísico,2
344,Geólogo,2
345,Geomagneticista,2
346,Geomorfólogo,2
347,Hidrólogo,2
348,Micropaleontólogo,2
349,Mineralogista,2
350,Oceanógrafo ,2
351,Oceanógrafo de geología,2
352,Paleontólogo,2
353,Sismólogo,2
354,Vulcanólogo,2
355,Actuario,2
356,Matemático analista de investigación operativa,2
357,Matemático de análisis actuarial,2
358,Matemático de matemática aplicada,2
359,Matemático de matemática pura,2
360,Bioestadístico,2
361,Biometrista,2
362,Demógrafo,2
363,Estadístico,2
364,Estadístico matemático,2
365,Matemático,2
