codSubclase,Descripción,"Estado (1-Inactivo, 2-Activo)"
089100006,Extracción de boratos naturales,2
089100007,Extracción de tierras colorantes,2
089100008,Extracción de fluorita (espato flúor),2
089100009,Extracción de otros minerales valorados como fuente de sustancias químicas,2
089100010,Explotación de guano,2
089100011,Extracción de minerales para la fabricación de fertilizante,2
089100012,Extracción de mineral para la fabricación de producto químico,2
089199000,Extracción mixta de minerales para la fabricación de abonos y productos químicos,2
089200001,Extracción de turba,2
089200002,Aglomeración de Turba,2
089200003,Preparación de turba para mejorar su calidad o facilitar su transporte o almacenamiento,2
089300001,"Extracción de sal, desde el subsuelo incluyendo por disolución y bombeo",2
089300002,Extracción de sal por evaporación al sol de agua de mar o de otras aguas salinas,2
089300003,"Trituración, purificación y refinado de la sal por el productor como parte de la extracción de sal",2
089399000,Extracción de sal,2
089900001,Extracción de materiales abrasivos,2
089900002,Extracción de asbestos,2
089900003,Extracción de fósiles silicios,2
089900004,Extracción de grafito natural,2
089900005,Extracción de esteatita (talco),2
089900006,Extracción de feldespato,2
089900007,Explotación en mina de asfalto natural,2
089900008,Extracción de asfaltitos y roca asfáltica,2
089900009,Extracción de betún natural sólido,2
089900010,"Extracción de piedras preciosas, gemas, cuarzo y mica etc.",2
089900011,Extracción de piedras preciosas,2
089900090,Extracción en minas de diversos minerales y materiales no contemplado en otra actividad asociada,2
091000001,Servicio de exploración para la extracción de petróleo y gas (observaciones geológicas en posibles yacimientos),2
091000002,"Servicios de perforación inicial, erección, reparación y desmantelamiento de torres de perforación para extracción de petróleo y gas natural",2
091000003,Servicio de prueba de perforación en conexión con la extracción del gas o petróleo,2
091000004,"Servicio de cementación de los tubos de encamisado de los pozos de petróleo y gas, bombeo de pozos, taponamiento y abandono de pozos, etc.",2
091000005,Servicio de licuefacción y regasificación del gas natural con propósito de transporte en el lugar de extracción,2
091000006,"Servicio de drenaje y bombeo de petróleo o gas, a cambio de una retribución o por contrato",2
091000007,Servicios de sondeo para la extracción de petróleo o gas,2
091000008,Servicios de prevención y extinción de incendios en campos de petróleo y gas,2
091000090,Otras actividades de apoyo a la extracción de petróleo y gas natural no contemplado en otra actividad asociada,2
099000001,"Servicio de apoyo a cambio de retribución o por contrato, para la extracción de carbón de piedra y lignito, minerales metalíferos y de explotación de otras minas y canteras",2
099000002,"Servicio de recogida de muestras y observaciones geológicas, en sitios de investigación de minerales, para la extracción de carbón de piedra y lignito, minerales metalíferos y de explotación de otras minas y canteras",2
099000003,"Servicio de drenaje y bombeo en minas, a cambio de retribución o por contrato, para la extracción de carbón de piedra y lignito, minerales metalíferos y de explotación de otras minas y canteras",2
099000004,"Servicio de perforaciones de pruebas y sondeos de exploración para la extracción de carbón de piedra y lignito, minerales metalíferos y de explotación de otras minas y canteras",2
099099000,Actividades de apoyo a la explotación de otras minas y canteras,2
101001001,"Operación de mataderos que realizan actividades de matanza, preparación y envasado de carne de res y cerdo (porcina)",2
101001002,"Producción de carne de ganado vacuno y porcino, fresca, refrigerada o congelada por cuerpos, por trozos o porciones individuales",2
101001003,"Producción de carne de ganado vacuno y porcino seca, salada o ahumada",2
101001004,"Productos cárnicos de res y cerdo: salchichas, morcillas, salchichón, chorizo, mortadela, patés, y otros embutidos",2
101001005,Extracción de manteca de cerdo y otras grasas comestibles de origen animal,2
101001006,Elaboración de despojos animal de ganado vacuno y porcino,2
101001090,"Otro tipo de elaboración y conservación de carne y embutidos de ganado vacuno y porcino, no contemplado en otra actividad asociada",2
101002001,"Operación de mataderos que realizan actividades de matanza, preparación y envasado de carne de aves",2
101002002,"Producción de carne de aves fresca, refrigerada o congelada por cuerpos, por trozos o porciones individuales",2
101002003,"Producción de carne de aves seca, salada o ahumada",2
101002004,"Producción de productos cárnicos como: salchichas, salchichón, chorizo, mortadela, patés, y otros embutidos con carne de aves",2
101002090,"Otro tipo de elaboración y conservación de carne y embutidos de aves, no contemplado en otra actividad asociada",2
101009001,"Operación de mataderos que realizan actividades de matanza, preparación y envasado de carne (excepto carne vacuna, porcina y aves) como: carne de conejo, carne de cordero, etc.",2
101009002,"Producción de carne fresca, refrigerada o congelada por cuerpos, o porciones individuales de otros productos cárnicos, diferentes de la del ganado vacuno, porcino, aves o peces",2
101009003,"Producción de carne seca, salada o ahumada de otro tipo de animales diferentes al ganado vacuno, porcino, aves o peces",2
